Date,Market
2002-01-10,85.228683
2002-01-11,84.391678
2002-01-14,83.863029
2002-01-15,84.545853
2002-01-16,82.835075
2002-01-17,83.45919
2002-01-18,83.077385
2002-01-22,82.504707
2002-01-23,83.136147
2002-01-24,83.393127
2002-01-25,83.371086
2002-01-28,83.598717
2002-01-29,80.970177
2002-01-30,82.137581
2002-01-31,83.099419
2002-02-01,82.710281
2002-02-04,80.654465
2002-02-05,80.155197
2002-02-06,79.810089
2002-02-07,79.310844
2002-02-08,80.830658
2002-02-11,81.821838
2002-02-12,81.564903
2002-02-13,82.431274
2002-02-14,82.277107
2002-02-15,81.41803
2002-02-19,79.854134
2002-02-20,81.197762
2002-02-21,79.516418
2002-02-22,80.500267
2002-02-25,81.829201
2002-02-26,81.660355
2002-02-27,81.976051
2002-02-28,81.608925
2002-03-01,83.51059
2002-03-04,84.986343
2002-03-05,84.714714
2002-03-06,85.720596
2002-03-07,85.537018
2002-03-08,85.896782
2002-03-11,86.080353
2002-03-12,86.028961
2002-03-13,85.199295
2002-03-14,85.081818
2002-03-15,85.892509
2002-03-18,85.907242
2002-03-19,86.481575
2002-03-20,84.854263
2002-03-21,84.89109
2002-03-22,84.707024
2002-03-25,83.654083
2002-03-26,84.140038
2002-03-27,84.360954
2002-03-28,84.324165
2002-04-01,84.360954
2002-04-02,83.897079
2002-04-03,83.307991
2002-04-04,82.961937
2002-04-05,82.976685
2002-04-08,83.153389
2002-04-09,82.571663
2002-04-10,83.506805
2002-04-11,81.430374
2002-04-12,82.041542
2002-04-15,81.415634
2002-04-16,83.352188
2002-04-17,83.175468
2002-04-18,82.814667
2002-04-19,83.116554
2002-04-22,81.732269
2002-04-23,81.378822
2002-04-24,80.561523
2002-04-25,80.605705
2002-04-26,79.07415
2002-04-29,78.683884
2002-04-30,79.420219
2002-05-01,80.392166
2002-05-02,80.082878
2002-05-03,79.214035
2002-05-06,77.660362
2002-05-07,77.387939
2002-05-08,80.266983
2002-05-09,79.339211
2002-05-10,77.844444
2002-05-13,79.427559
2002-05-14,81.157944
2002-05-15,80.841324
2002-05-16,81.261024
2002-05-17,81.658661
2002-05-20,80.775047
2002-05-21,80.038727
2002-05-22,80.215431
2002-05-23,81.069595
2002-05-24,80.031349
2002-05-28,79.596931
2002-05-29,79.007866
2002-05-30,78.786957
2002-05-31,78.948959
2002-06-03,76.850426
2002-06-04,77.041855
2002-06-05,77.763466
2002-06-06,76.180351
2002-06-07,76.09198
2002-06-10,76.386528
2002-06-11,75.075859
2002-06-12,75.53241
2002-06-13,74.773979
2002-06-14,74.663528
2002-06-17,76.666351
2002-06-18,77.292198
2002-06-19,75.488213
2002-06-20,74.523613
2002-06-21,73.358391
2002-06-24,73.742615
2002-06-25,72.087471
2002-06-26,72.205681
2002-06-27,73.469208
2002-06-28,73.121902
2002-07-01,71.695839
2002-07-02,70.173706
